N (x10^5);a (mm);Torque (Nm);n (rpm);Temp (ºC)
16,933646839645927; 0,9844664997159782;2;1000;22
17,20787722618129; 1,047679275155577;2;1000;22
17,432022418343667; 1,1138067607019018;2;1000;22
17,57595046184616; 1,1897713928584235;2;1000;22
17,72468606918679; 1,2783057123501944;2;1000;22
17,81602978211151; 1,3570028852317702;2;1000;22
17,902830646080826; 1,406188618282755;2;1000;22
17,95190963925974; 1,4676707845964856;2;1000;22
18,000945936489824; 1,531885491635272;2;1000;22
18,06025914860305; 1,5788851921062115;2;1000;22
18,073849269115307; 1,6698787982505348;2;1000;22
0,13456997331024567;0,072708744;2;1000;34
0,49866394654425505; 0,14921988475758852;2;1000;34
0,7832068279201074; 0,19294053635846353;2;1000;34
1,0827046769724582; 0,2403045755927451;2;1000;34
1,382264197950894; 0,2837216115575032;2;1000;34
1,6817715349918743; 0,3304784195195509;2;1000;34
1,9812551520612818;0,378753306;2;1000;34
2,2809949448236626; 0,41063294745448964;2;1000;34
2,580777433534873; 0,43978004852173846;2;1000;34
2,8806310821607966; 0,46437291504723177;2;1000;34
3,1805274267355514; 0,4862332408476693;2;1000;34
3,480494931225021; 0,5035393321063495;2;1000;34
3,7805478276121462; 0,5153803419149199;2;1000;34
4,080558028050447; 0,5299538924485461;2;1000;34
4,380511300556972;0,548170831;2;1000;34
4,6805072690123275; 0,5636552280575522;2;1000;34
4,980517469450625; 0,5782287785911784;2;1000;34
5,280570365837754; 0,5900697883997488;2;1000;34
5,580609030241938; 0,6028216451166699;2;1000;34
5,880690390594953;0,612840961;2;1000;34
6,180785983; 0,6219494301920534;2;1000;34
6,480910039; 0,6292362054588665;2;1000;34
6,780948703636934; 0,6419880621757894;2;1000;34
7,081044295972891;0,651096531;2;1000;34
7,381082960377075; 0,6638483879762269;2;1000;34
7,681135856764204; 0,6756893977847955;2;1000;34
7,981217217117216; 0,6857087137766644;2;1000;34
8,281298577470228; 0,6957280297685315;2;1000;34
8,581408401789126; 0,7039256519436954;2;1000;34
8,881518226108028; 0,7121232741188592;2;1000;34
9,181699210341641; 0,7157666617522658;2;1000;34
9,481780570694653; 0,7257859777441329;2;1000;34
9,781918858979438; 0,7321619061025935;2;1000;34
10,082071379247168; 0,7376269875527033;2;1000;34
10,38215273960018; 0,7476463035445704;2;1000;34
10,682276795902023; 0,7549330788113817;2;1000;34
10,982386620220922; 0,7631307009865473;2;1000;34
11,282482212556879; 0,7722391700700619;2;1000;34
11,582549340926946; 0,7831693329702816;2;1000;34
11,882602237314075;0,795010343;2;1000;34
12,182669365684145; 0,8059405056790716;2;1000;34
12,482736494054215; 0,8168706685792895;2;1000;34
12,782846318373114; 0,8250682907544533;2;1000;34
13,082927678726126; 0,8350876067463204;2;1000;34
13,383023271062083; 0,8441960758298368;2;1000;34
13,683076167449208; 0,8560370856384072;2;1000;34
13,983114831853392; 0,8687889423553301;2;1000;34
14,283167728240521; 0,8806299521638987;2;1000;34
14,583206392644705; 0,8933818088808216;2;1000;34
14,883116969202401; 0,9143312877729084;2;1000;34
15,183098705674812; 0,9307265321232361;2;1000;34
15,482995050249567; 0,9525868579236736;2;1000;34
15,782834466892549; 0,9780905713575176;2;1000;34
16,082588491637875; 1,0090593662414697;2;1000;34
16,38225712448554; 1,0454932425755334;2;1000;34
16,68181190146966; 1,0892138941764085;2;1000;34
16,98139514241967; 1,131112851960582;2;1000;34
17,255782080767403; 1,1843063114083137;2;1000;34
17,465128857065665; 1,236771093329363;2;1000;34
17,60373129255088; 1,3333208656146294;2;1000;34
17,75217087; 1,4408008008001136;2;1000;34
17,826191417932808; 1,5072926251097787;2;1000;34
17,874992887444332; 1,5865363061363666;2;1000;34
17,93209160301162; 1,6685125278880069;2;1000;34
0,10989171488709637;0,050848419;2;1000;50
0,3109001706484662; 0,10238907849829282;2;1000;50
0,5581479424527895; 0,18528942232831014;2;1000;50
0,8073556565777782; 0,2486843671495791;2;1000;50
1,0565462923232367; 0,3131723282608707;2;1000;50
1,3057540064482254; 0,37656727308213966;2;1000;50
1,5801029928414447; 0,43218965761881023;2;1000;50
1,8795818659165366; 0,48076815939755946;2;1000;50
2,179250498764203; 0,5172020357316232;2;1000;50
2,478904899628926; 0,5545467589740376;2;1000;50
